system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jiyambi\Documents\GitHub\Pollinator\
display  D   display_settings.c:377  _al_score_display_settings       [   0.08439] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08441] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08442] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08443] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08451] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08456] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08461] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08462] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08464] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08466] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08468] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08470] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08473] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08474] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08476] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08477] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08479] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08480] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08481] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08483] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08484] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08487] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08488] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08490] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08491] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08493] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08494] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08496] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08498] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08500] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08501] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08502] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08504] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08505] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08507] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08508] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08509] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08511] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08512] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08514] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08515] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08517] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08518] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08519] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08521] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08522] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08523] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08525] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08528] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08529] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08530] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08532] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08533] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08536] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08537] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08539] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08542] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08543] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08545] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08546] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08547] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08548] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08550] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08551] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08553] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08554] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08556] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08557] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08558] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08560] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08561] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08562] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08572] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08574] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08575] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08577] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08578] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08579] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08581] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08582] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08585] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08586] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08587] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08589] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08592] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08594] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08595] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08598] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08599] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08601] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08602] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08603] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08605] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08606] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08607] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08609] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08610] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08611] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08613] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08614] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08615] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08616] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08618] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08619] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08620] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08622] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08623] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08624] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08626] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08627] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08628] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08629] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08631] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08632] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08633] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08637] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08639] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08641] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08642] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08643] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08645] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.08646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08647] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08648] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08650] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08651] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08652] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08654] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08656] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08658] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08659] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08660] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08662] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08663] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08666] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08667] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08668] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08671] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08672] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08673] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08675] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08677] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08679] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08680] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08683] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08686] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08687] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08689] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1838 d3d_create_display_internals     [   0.08691] Trying format 0 of 92.
d3d      I         d3d_disp.cpp:1516 d3d_display_thread_proc          [   0.08773] Chose a display format: 23
d3d      I         d3d_disp.cpp:1585 d3d_display_thread_proc          [   0.08776] Normal window.
d3d      I         d3d_disp.cpp:992  d3d_create_device                [   0.10807] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1057 d3d_create_device                [   0.15054] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1065 d3d_create_device                [   0.15059] Success
d3d      D         d3d_disp.cpp:1861 d3d_create_display_internals     [   0.15061] Resumed after wait.
d3d      I         d3d_disp.cpp:1886 d3d_create_display_internals     [   0.15064] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.15178] added dtor for object 0028C0C0, func 0F3C2775
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15313] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15316] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15318] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15319] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15320] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15321] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15323] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15324] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.15325] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.15326] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.15327] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.15329] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.15330] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15629] added dtor for object 0028DA70, func 0F3C256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.17608] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.17614] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44730] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44733] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44735] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44736] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44737] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44738] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44740] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44741] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.44742] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.44743] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.44745] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.44746] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.44748] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.44885] added dtor for object 0028DC20, func 0F3C256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.46265] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.46271] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55600] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55604] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55605] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55606] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55608] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55609] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55610] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55611] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.55612] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.55614] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.55615] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.55616] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.55618] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.55670] added dtor for object 0028CA78, func 0F3C256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.55904] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.55910] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56255] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56262] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56264] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56266] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56267] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56268] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56270] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56272] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.56273] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.56274] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.56275] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.56276] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.56277] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.56319] added dtor for object 07B2D8F0, func 0F3C256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.56489] _al_d3d_sync_bitmap (system) ref count == 1
